family,number,id,name,description,type,status,placeholder_values,profile_notes,page
AC,01,ac-1,Access control policy and procedures,"A. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:
1. [Selection (one or more): Organization-level; Mission/business process-level; System-level] access control policy that:
a. addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational
entities, and compliance
b. is consistent with applicable laws, Orders in Council, jurisprudence, directives, regulations, policies, standards, and
guidelines
2. procedures to facilitate the implementation of the access control policy and the associated access controls
B. Designate an [Assignment: organization-defined official] to manage the development, documentation, and
dissemination of the access control policy and procedures.
C. Review and update the current access control:
1. policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]
2. procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]",Activity,Selected,"C.1 C.2 frequency [at a
frequency no longer than
annually]",NA,16
AC,02,ac-2,Account management,"A. Define and document the types of accounts allowed and specifically prohibited for use within the system.
B. Assign account managers and data custodians.
C. Require [Assignment: organization-defined prerequisites and criteria] for group and role membership.
D. Specify:
1. authorized users of the system
2. group and role membership
3. access authorizations (i.e., privileges) and [Assignment: organization-defined attributes (as required)] for each account
E. Require approvals by [Assignment: organization-defined personnel or roles] for requests to create accounts.
F. Create, enable, modify, disable, and remove accounts in accordance with [Assignment: organization-defined policy,
procedures, prerequisites, and criteria].
G. Monitor the use of accounts.
H. Notify account managers and [Assignment: organization-defined personnel or roles] within:
1. [Assignment: organization-defined time period] when accounts are no longer required or dormant
2. [Assignment: organization-defined time period] when users are terminated or transferred
3. [Assignment: organization-defined time period] when system usage or need-to-know changes for an individual
I. Authorize access to the system based on:
1. a valid access authorization
16
2. intended system usage
3. [Assignment: organization-defined attributes (as required)]
J. Periodically review accounts for compliance with account management requirements [Assignment: organization-
defined frequency].
K. Establish and implement a process for changing shared or group account authenticators (if deployed) when individuals
are removed from the group.
L. Align account management processes with personnel termination and transfer processes.",Control,Selected,"(J) frequency [at a
frequency no longer than
monthly]",NA,16
AC,02(01),ac-2.1,Account management,"Account management: Automated system account management
Support the management of system accounts using [Assignment: organization-defined automated mechanisms].",Control,Selected,NA,NA,17
AC,02(02),ac-2.2,Account management,"Account management: Automated temporary and emergency account management
Automatically [Selection (one): remove; disable] temporary and emergency accounts after [Assignment: organization-
defined time period for each type of account].",Control,Selected,"time period [not to exceed
48 hours after no longer
being required]",NA,17
AC,02(03),ac-2.3,Account management,"Account management: Disable accounts
Disable accounts within [Assignment: organization-defined time period] when the accounts:
a. have expired
b. are no longer associated with a user or individual
c. are in violation of organizational policy
d. have been inactive for [Assignment: organization-defined time period]",Control,Selected,"a. b. time period [not to
exceed 30 days]
c. time period [not to
exceed 24 hours]",NA,17
AC,02(04),ac-2.4,Account management,"Account management: Automated audit actions
Automatically audit account creation, modification, enabling, disabling, and removal actions.",Control,Selected,NA,NA,17
AC,02(05),ac-2.5,Account management,"Account management: Inactivity logout
Require that users log out when [Assignment: organization-defined time period of expected inactivity or description of
when to log out].",Control,Selected,NA,NA,17
AC,02(06),ac-2.6,Account management,"Account management: Dynamic privilege management
Implement [Assignment: organization-defined dynamic privilege management capabilities].",Control,Not selected,NA,NA,17
AC,02(07),ac-2.7,Account management,"Account management: Privileged user accounts
a. Establish and administer privileged user accounts in accordance with [Selection (one): a role-based access scheme; an
attribute-based access scheme].
b. Monitor privileged role or attribute assignments.
c. Monitor changes to roles or attributes.
d. Revoke access when privileged role or attribute assignments are no longer appropriate.",Control,Selected,NA,NA,17
AC,02(08),ac-2.8,Account management,"Account management: Dynamic account management
Create, activate, manage, and deactivate [Assignment: organization-defined system accounts] dynamically.",Control,Not selected,NA,NA,17
